ts_sec,lat,lon,speed
1774455056,35.7849737515714,-78.6416335821746,0.0217714285714286
1774455060,35.7849718123488,-78.6416346179651,0.983511627906977
1774455061,35.784969167,-78.6416355,2.412
1774455064,35.7849143566667,-78.6416627244733,13.306368
1774455065,35.7848865,-78.641686167,16.3116
1774455068,35.7847930000364,-78.6418430487818,19.8240872727273
1774455069,35.7847765558851,-78.6418874205,15.9127448275862
1774455070,35.784757333,-78.641960167,17.2872
1774455071,35.784754,-78.642016833,19.4472
1774455072,35.784767833,-78.642082,24.0444
1774455076,35.784984333,-78.6423555,40.1256
1774455077,35.7850618285152,-78.6424076818182,42.4989818181818
1774455080,35.7854316371673,-78.642537523677,51.7782256809339
1774455084,35.7859849700303,-78.642680812803,59.3543454545455
1774455085,35.7861120855833,-78.6427108955,60.6426
1774455086,35.786196333,-78.642730833,61.4952
1774455087,35.786478,-78.6427991348571,64.3542857142857
1774455088,35.7865496875,-78.6428165119911,64.9791321428572
1774455089,35.7868002,-78.642875967,66.98376
1774455091,35.787165667,-78.642955333,67.4244
1774455092,35.7872264155507,-78.6429650554638,67.378747826087
1774455093,35.787351413,-78.64298351804,67.368288
1774455095,35.7877967249298,-78.6429834620877,68.9987368421053
1774455096,35.787863333,-78.642978667,69.336
1774455097,35.7880586107778,-78.6429565187778,71.1164
1774455099,35.788577833,-78.642884167,72.8028
1774455100,35.788673107125,-78.6428706013661,73.4927464285714
1774455101,35.788779167,-78.6428555,74.2608
1774455102,35.788965,-78.642828,75.0924
1774455103,35.789303767,-78.6427794998,76.24512
1774455104,35.789341667,-78.642774333,76.428
1774455107,35.79006449975,-78.6426290835,80.1027
1774455108,35.7901319067029,-78.6426103916377,80.4370695652174
1774455109,35.7903105,-78.642559667,81.1512
1774455110,35.790509833,-78.642504333,81.9396
1774455111,35.790711167,-78.6424505,82.3608
1774455112,35.790913667,-78.642398,82.6956
1774455115,35.791623333,-78.6422125,83.124
1774455116,35.7917580144409,-78.6421839677419,83.1287225806451
1774455117,35.791828667,-78.642169,83.1312
1774455118,35.792235167,-78.642074333,81.5328
1774455119,35.792434,-78.642020667,80.784
1774455120,35.792434,-78.642020667,80.784
